Number,Name,Type 1,Type 2
1,Bulbasaur,Grass,Poison
2,Ivysaur,Grass,Poison
3,Venusaur,Grass,Poison
3_01,Venusaur-Mega,Grass,Poison
4,Charmander,Fire,
5,Charmeleon,Fire,
6,Charizard,Fire,Flying
6_01,Charizard X-Mega,Fire,Dragon
6_02,Charizard Y-Mega,Fire,Flying
7,Squirtle,Water,
8,Wartortle,Water,
9,Blastoise,Water,
9_01,Blastoise-Mega,Water,
10,Caterpie,Bug,
11,Metapod,Bug,
12,Butterfree,Bug,Flying
13,Weedle,Bug,Poison
14,Kakuna,Bug,Poison
15,Beedrill,Bug,Poison
15_01,Beedrill-Mega,Bug,Poison
16,Pidgey,Normal,Flying
17,Pidgeotto,Normal,Flying
18,Pidgeot,Normal,Flying
18_01,Pidgeot-Mega,Normal,Flying
19,Rattata,Normal,
19_01,Rattata-Alola,Dark,Normal
20,Raticate,Normal,
20_01,Raticate-Alola,Dark,Normal
21,Spearow,Normal,Flying
22,Fearow,Normal,Flying
23,Ekans,Poison,
24,Arbok,Poison,
25,Pikachu,Electric,
26,Raichu,Electric,
26_01,Raichu-Alola,Electric,Psychic
27,Sandshrew,Ground,
27_01,Sandshrew-Alola,Ice,Steel
28,Sandslash,Ground,
28_01,Sandslash-Alola,Ice,Steel
29,Nidoran-F,Poison,
30,Nidorina,Poison,
31,Nidoqueen,Poison,Ground
32,Nidoran-M,Poison,
33,Nidorino,Poison,
34,Nidoking,Poison,Ground
35,Clefairy,Fairy,
36,Clefable,Fairy,
37,Vulpix,Fire,
37_01,Vulpix-Alola,Ice,
38,Ninetales,Fire,
38_01,Ninetales-Alola,Ice,Fairy
39,Jigglypuff,Normal,Fairy
40,Wigglytuff,Normal,Fairy
41,Zubat,Poison,Flying
42,Golbat,Poison,Flying
43,Oddish,Poison,Flying
44,Gloom,Grass,Poison
45,Vileplume,Grass,Poison
46,Paras,Bug,Grass
47,Parasect,Bug,Grass
48,Venonat,Bug,Poison
49,Venomoth,Bug,Poison
50,Diglett,Ground,
50_01,Diglett-Alola,Ground,Steel
51,Dugtrio,Ground,
51_01,Dugtrio-Alola,Ground,Steel
52,Meowth,Normal,
52_01,Meowth-Alola,Dark,
052_01,Meowth-Galar,Steel,
53,Persian,Normal,
53,Persian-Alola,Dark,
54,Psyduck,Water,
55,Golduck,Water,
56,Mankey,Fighting,
57,Primeape,Fighting,
58,Growlithe,Fire,
058_01,Growlithe-Hisui,Fire,Rock
59,Arcanine,Fire,
059_01,Arcanine-Hisui,Fire,Rock
60,Poliwag,Water,
61,Poliwhirl,Water,
62,Poliwrath,Water,Fighting
63,Abra,Psychic,
64,Kadabra,Psychic,
65,Alakazam,Psychic,
65_01,Alakazam-Mega,Psychic,
66,Machop,Fighting,
67,Machoke,Fighting,
68,Machamp,Fighting,
69,Bellsprout,Grass,Poison
70,Weepinbell,Grass,Poison
71,Victreebel,Grass,Poison
72,Tentacool,Water,Poison
73,Tentacruel,Water,Poison
74,Geodude,Rock,Ground
74_01,Geodude-Alola,Rock,Electric
75,Graveler,Rock,Ground
75_01,Graveler-Alola,Rock,Electric
76,Golem,Rock,Ground
76_01,Golem-Alola,Rock,Electric
77,Ponyta,Fire,
077_01,Ponyta-Galar,Fire,Fairy
78,Rapidash,Fire,
078_01,Rapidash-Galar,Fire,Fairy
79,Slowpoke,Water,Psychic
079_01,Slowpoke-Galar,Psychic,
80,Slowbro,Water,Psychic
80_01,Slowbro-Mega,Water,Psychic
080_01,Slowbro-Galar,Psychic,Poison
81,Magnemite,Electric,Steel
82,Magneton,Electric,Steel
83,Farfetch'd,Normal,Flying
083_01,Farfetch'd-Galar,Fighting,
84,Doduo,Normal,Flying
85,Dodrio,Normal,Flying
86,Seel,Water,
87,Dewgong,Water,Ice
